MONTH;;Jan/2021;Feb/2021;Mar/2021;Apr/2021;May/2021;Jun/2021
4.083,597;3.964,960;0,000;0,000;0,000;0,000
GATEWAY COTIA;Real
GATEWAY COTIA;Real
1.629,633;1.664,714;1.677,269;0,000;0,000;0,000
Gateway Santiago;Real
697,913;712,705;713,107;0,000;0,000;0,000
Nuevo DC TLP Santiago;Real
0,000;0,000;0,000;0,000;0,000;0,000
TELEPORTO CURITIBA;Real
0,000;0,000;0,000;0,000;0,000;0,000
TELEPORTO RIO DE JANEIRO;Real
